            TIME               X               Y               Z              BX              BY              BZ             BMM         COMMENT
  1483228800.000          -1.959          -0.000          -1.494        1994.932           0.198         163.046        2001.584    -           
  1483228800.000          -1.949          -0.000          -1.493        2017.757           0.202         173.151        2025.173    -           
  1483228800.000          -1.939          -0.000          -1.492        2040.902           0.206         183.467        2049.132    -           
  1483228800.000          -1.929          -0.000          -1.491        2064.374           0.210         193.998        2073.469    -           
  1483228800.000          -1.919          -0.000          -1.491        2088.178           0.214         204.750        2098.192    -           
  1483228800.000          -1.909          -0.000          -1.490        2112.321           0.218         215.728        2123.308    -           
  1483228800.000          -1.899          -0.000          -1.488        2136.808           0.222         226.936        2148.825    -           
  1483228800.000          -1.889          -0.000          -1.487        2161.646           0.226         238.380        2174.750    -           
  1483228800.000          -1.879          -0.000          -1.486        2186.842           0.230         250.066        2201.093    -           
  1483228800.000          -1.869          -0.000          -1.485        2212.401           0.234         261.998        2227.860    -           
  1483228800.000          -1.859          -0.000          -1.484        2238.331           0.239         274.183        2255.062    -           
  1483228800.000          -1.849          -0.000          -1.483        2264.639           0.243         286.626        2282.705    -           
  1483228800.000          -1.839          -0.000          -1.481        2291.331           0.248         299.332        2310.801    -           
  1483228800.000          -1.829          -0.000          -1.480        2318.416           0.252         312.310        2339.356    -           
  1483228800.000          -1.819          -0.000          -1.479        2345.899           0.257         325.563        2368.382    -           
  1483228800.000          -1.810          -0.000          -1.477        2373.790           0.262         339.100        2397.888    -           
  1483228800.000          -1.800          -0.000          -1.476        2402.095           0.266         352.926        2427.883    -           
  1483228800.000          -1.790          -0.000          -1.474        2430.822           0.271         367.048        2458.378    -           
  1483228800.000          -1.780          -0.000          -1.473        2459.980           0.276         381.473        2489.382    -           
  1483228800.000          -1.770          -0.000          -1.471        2489.577           0.281         396.208        2520.908    -           
  1483228800.000          -1.760          -0.000          -1.470        2519.621           0.286         411.261        2552.965    -           
  1483228800.000          -1.750          -0.000          -1.468        2550.122           0.291         426.639        2585.564    -           
  1483228800.000          -1.740          -0.000          -1.467        2581.087           0.296         442.350        2618.718    -           
  1483228800.000          -1.731          -0.000          -1.465        2612.526           0.302         458.402        2652.438    -           
  1483228800.000          -1.721          -0.000          -1.463        2644.449           0.307         474.803        2686.735    -           
  1483228800.000          -1.711          -0.000          -1.461        2676.864           0.313         491.560        2721.623    -           
  1483228800.000          -1.701          -0.000          -1.459        2709.782           0.318         508.684        2757.114    -           
  1483228800.000          -1.691          -0.000          -1.458        2743.213           0.324         526.182        2793.221    -           
